"Country","Region","meanGDP","meanSocialSupport","meanGenerosity","meanCorruption","meanLifeExpectancy","meanFreedom"
"Czech Republic","Central and Eastern Europe",1.34251683825826,1.29744148583912,0.082572835986567,0.0396320187624333,0.806199806638145,0.514313843708489
"Denmark","Western Europe",1.47069894209645,1.38661134931521,0.279146735591185,0.45739129952108,0.855697261322262,0.649979577431282
"Djibouti","Sub-Saharan Africa",0.44025,0.59207,0.18093,0.28105,0.36291,0.46074
"Dominican Republic","Latin America and Caribbean",1.07835071056467,1.20278569988565,0.143358078841431,0.128243866899172,0.63583943018018,0.559596716717052
"Ecuador","Latin America and Caribbean",0.972410499916336,1.08662080333818,0.113533617752999,0.117519753811074,0.744169245670315,0.509734093694613
"Egypt","Middle East and Northern Africa",0.980085093562367,0.833517615894337,0.0894253370981579,0.112126644809755,0.55329732121505,0.310643111078594
"El Salvador","Latin America and Caribbean",0.875870612978817,1.01029283794409,0.0944855356766343,0.119862663986534,0.652764820597519,0.488085805958601
"Estonia","Central and Eastern Europe",1.31483757064648,1.32255545333285,0.103257194900614,0.206630717653602,0.746421665545536,0.537223279423437
"Ethiopia","Sub-Saharan Africa",0.367489936184042,0.79001906071978,0.24422735539333,0.137634093608518,0.416823244318279,0.417742451555386
"Finland","Western Europe",1.42599892927041,1.3794590787603,0.185197901823591,0.435653600617517,0.855806134318027,0.649624699585705
"France","Western Europe",1.40908910136426,1.29375950370676,0.107286251226178,0.205543208161654,0.902865009847969,0.507375377064583
"Gabon","Sub-Saharan Africa",1.1242505775513,0.960372215915412,0.0489323725421133,0.0757376657752948,0.424409178810715,0.337488559255203
"Gambia","Sub-Saharan Africa",0.429247638,0.738419672,0.38699742175,0.13777344875,0.34006197025,0.384104881
"Georgia","Central and Eastern Europe",0.95170384165284,0.527489854245949,0.0422435688046944,0.236983088909361,0.650226825607231,0.405285517826275
"Germany","Western Europe",1.4618622412141,1.28089676192624,0.258370859255732,0.287379278765463,0.857349441594288,0.567776939560894
"Ghana","Sub-Saharan Africa",0.67684216142857,0.745887837093468,0.239514393719751,0.0426320938590116,0.368116247722969,0.45380829468952
"Greece","Western Europe",1.26643469963966,1.03018101721447,0.001875,0.0509217661114338,0.860506331385475,0.136807199867719
"Guatemala","Latin America and Caribbean",0.863235957121555,1.06282528095425,0.205758757228737,0.090789197322762,0.603229071844692,0.583072167490467
"Guinea","Sub-Saharan Africa",0.378109708011959,0.613032580706234,0.244501991760849,0.108841522089897,0.252895547148119,0.356405696371246
"Haiti","Latin America and Caribbean",0.313292098695827,0.557250168135572,0.452651919555644,0.133045403075296,0.325728265719615,0.124662481903736
"Honduras","Latin America and Caribbean",0.711868337841625,1.01913113533925,0.22667338408108,0.0760578193183842,0.65643618274279,0.463907242151302
"Hong Kong","Eastern Asia",1.51877011260431,1.09959564916878,0.2926870871714,0.327141148274864,1.00409288483247,0.474899395202373
"Hungary","Central and Eastern Europe",1.27920988141005,1.25336656099082,0.0828616126761632,0.0353106388012049,0.721585915191238,0.309760665163869
"Iceland","Western Europe",1.45963932855013,1.43795393675429,0.377618806092182,0.150783416434011,0.895570691014511,0.646019172915798
"India","Southern Asia",0.786518425768734,0.53459765659259,0.224955121557618,0.0971193584073939,0.48614971960433,0.519729906499418
"Indonesia","Southeastern Asia",0.97907116304232,1.05994694891093,0.52823888936705,0.0244769685613096,0.548556594566195,0.51462061140019
"Iran","Middle East and Northern Africa",1.11394695149456,0.680232803503407,0.319182731655769,0.10621782331249,0.675969628066723,0.299536010014161
"Iraq","Middle East and Northern Africa",1.0496198993073,0.834002477475437,0.165468666501661,0.0907025933359733,0.523582645998722,0.249462948086733
"Ireland","Western Europe",1.56524542716123,1.36923469354265,0.333115664732351,0.330923926914324,0.862791664905586,0.58521753512822
"Israel","Middle East and Northern Africa",1.36713451355011,1.28848084221528,0.278693056369125,0.120783818757498,0.890937118100681,0.448149760103792
"Italy","Western Europe",1.37781908661492,1.2515824102087,0.156390732396905,0.0358429611769704,0.908141159208462,0.291423285710102
"Ivory Coast","Sub-Saharan Africa",0.629194166828926,0.697802161406319,0.175272882113947,0.120884696180742,0.135774335335521,0.428514840591482
"Jamaica","Latin America and Caribbean",0.905668463307938,1.22990590728852,0.14585460379016,0.0372931957524014,0.68506955902084,0.527227730756954
"Japan","Eastern Asia",1.39743116103737,1.25066706495452,0.06757181851897,0.176956296823083,0.959047151510765,0.500481427622318
"Jordan","Middle East and Northern Africa",0.943487699053531,1.02428593649209,0.111726903653019,0.145197737148464,0.67546559804084,0.424014529031731
"Kazakhstan","Central and Eastern Europe",1.24664006333071,1.28281083871171,0.149382277007552,0.11645082154824,0.627546311454537,0.484697053154682
"Kenya","Sub-Saharan Africa",0.570534107643345,0.859773560069427,0.381057800295301,0.0650115496519122,0.422890138584517,0.457231787756292
"Kosovo","Central and Eastern Europe",0.94136196539407,1.0015520406534,0.301154789063244,0.0321138302570372,0.596685152151131,0.417252295187771
